------------------------------------------------------------
Server listening on UDP port 5001 with pid 1752
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 51655
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 33567
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37758
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 41594
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 54039
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  7] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.818 ms    0/  891 (0%) 15.958/13.390/27.996/ 3.228 ms   89 pps  8.21
[SUM] 120.0000-130.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.533 ms    0/  892 (0%) 15.935/13.083/34.696/ 3.219 ms   89 pps  8.23
[  4] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.488 ms    0/  892 (0%) 15.953/13.421/34.695/ 3.231 ms   89 pps  8.22
[  5] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.534 ms    0/  892 (0%) 15.919/13.082/34.696/ 3.225 ms   89 pps  8.24
[  6] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.476 ms    0/  892 (0%) 15.938/12.928/34.696/ 3.232 ms   89 pps  8.23
[  7] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.501 ms    0/  892 (0%) 15.928/12.919/34.569/ 3.216 ms   89 pps  8.23
[SUM] 130.0000-140.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.080 ms    0/  892 (0%) 15.983/13.019/30.173/ 3.230 ms   89 pps  8.20
[  4] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.065 ms    0/  892 (0%) 15.939/13.019/28.065/ 3.194 ms   89 pps  8.23
[  5] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.062 ms    0/  892 (0%) 15.948/13.088/30.143/ 3.187 ms   89 pps  8.22
[  6] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.068 ms    0/  892 (0%) 15.992/13.160/30.170/ 3.265 ms   89 pps  8.20
[  7] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.123 ms    0/  892 (0%) 15.950/13.055/28.190/ 3.188 ms   89 pps  8.22
[SUM] 140.0000-150.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.478 ms    0/  891 (0%) 15.827/13.068/27.579/ 3.069 ms   89 pps  8.28
[  4] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.452 ms    0/  891 (0%) 15.807/13.053/27.445/ 3.066 ms   89 pps  8.29
[  5] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.461 ms    0/  891 (0%) 15.814/13.182/27.573/ 3.067 ms   89 pps  8.28
[  6] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.459 ms    0/  891 (0%) 15.817/13.153/27.481/ 3.061 ms   89 pps  8.28
[  7] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.450 ms    0/  891 (0%) 15.829/13.127/27.546/ 3.067 ms   89 pps  8.27
[SUM] 150.0000-160.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.761 ms    0/  892 (0%) 16.427/13.359/121.399/ 7.468 ms   89 pps  7.98
[  4] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.634 ms    0/  892 (0%) 16.397/13.313/121.522/ 7.461 ms   89 pps  8.00
[  5] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.643 ms    0/  892 (0%) 16.415/13.249/121.523/ 7.473 ms   89 pps  7.99
[  6] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.664 ms    0/  892 (0%) 16.399/13.290/121.484/ 7.458 ms   89 pps  8.00
