------------------------------------------------------------
Server listening on UDP port 5001 with pid 61806
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 40211
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 49206
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 60658
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 43853
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 55747
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  5] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.392 ms    0/  892 (0%) 10.359/ 7.712/21.043/ 3.122 ms   89 pps  12.66
[  6] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.304 ms    0/  892 (0%) 10.351/ 7.751/21.057/ 3.123 ms   89 pps  12.67
[  7] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.259 ms    0/  892 (0%) 10.377/ 7.810/21.042/ 3.134 ms   89 pps  12.64
[SUM] 210.0000-220.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.472 ms    0/  892 (0%) 10.375/ 7.874/20.947/ 3.103 ms   89 pps  12.64
[  4] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.416 ms    0/  892 (0%) 10.389/ 7.918/20.950/ 3.104 ms   89 pps  12.62
[  5] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.493 ms    0/  892 (0%) 10.389/ 7.933/20.949/ 3.104 ms   89 pps  12.62
[  6] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.411 ms    0/  892 (0%) 10.400/ 7.981/20.946/ 3.108 ms   89 pps  12.61
[  7] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.385 ms    0/  892 (0%) 10.380/ 7.932/20.823/ 3.097 ms   89 pps  12.63
[SUM] 220.0000-230.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.568 ms    0/  891 (0%) 10.371/ 7.788/20.841/ 3.119 ms   89 pps  12.63
[  4] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.514 ms    0/  891 (0%) 10.337/ 7.876/20.830/ 3.115 ms   89 pps  12.67
[  5] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.577 ms    0/  891 (0%) 10.346/ 7.788/20.701/ 3.120 ms   89 pps  12.66
[  6] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.527 ms    0/  891 (0%) 10.345/ 7.897/20.841/ 3.108 ms   89 pps  12.66
[  7] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.528 ms    0/  891 (0%) 10.327/ 7.789/20.841/ 3.104 ms   89 pps  12.68
[SUM] 230.0000-240.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.922 ms    0/  892 (0%) 10.434/ 7.926/22.361/ 3.200 ms   89 pps  12.57
[  4] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.891 ms    0/  892 (0%) 10.415/ 7.931/22.280/ 3.198 ms   89 pps  12.59
[  5] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.919 ms    0/  892 (0%) 10.420/ 7.851/22.206/ 3.198 ms   89 pps  12.58
[  6] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.922 ms    0/  892 (0%) 10.434/ 7.866/22.362/ 3.204 ms   89 pps  12.57
[  7] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.927 ms    0/  892 (0%) 10.415/ 7.879/22.362/ 3.200 ms   89 pps  12.59
[SUM] 240.0000-250.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
