------------------------------------------------------------
Server listening on UDP port 5001 with pid 4909
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37527
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1140.0000-1150.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.028 ms    0/  891 (0%)  4.907/ 3.270/ 7.264/ 0.833 ms   89 pps  26.69
[  3] 1150.0000-1160.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.004 ms    0/  892 (0%)  5.127/ 3.450/15.004/ 0.943 ms   89 pps  25.58
[  3] 1160.0000-1170.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.938 ms    0/  891 (0%)  5.280/ 3.725/15.061/ 0.931 ms   89 pps  24.81
[  3] 1170.0000-1180.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.916 ms    0/  892 (0%)  5.311/ 3.557/18.183/ 1.087 ms   89 pps  24.69
[  3] 1180.0000-1190.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.979 ms    0/  892 (0%)  5.130/ 3.587/16.224/ 1.045 ms   89 pps  25.56
[  3] 1190.0000-1200.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.113 ms    0/  891 (0%)  5.349/ 3.878/19.075/ 1.031 ms   89 pps  24.48
[  3] 1200.0000-1210.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.170 ms    0/  892 (0%)  5.579/ 4.038/10.285/ 0.908 ms   89 pps  23.50
[  3] 1210.0000-1220.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.957 ms    0/  892 (0%)  5.811/ 4.265/17.474/ 1.107 ms   89 pps  22.56
[  3] 1220.0000-1230.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.982 ms    0/  891 (0%)  6.056/ 4.423/16.678/ 1.111 ms   89 pps  21.63
[  3] 1230.0000-1240.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.904 ms    0/  892 (0%)  6.511/ 4.692/76.003/ 3.943 ms   89 pps  20.14
[  3] 1240.0000-1250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.035 ms    0/  892 (0%)  6.368/ 4.772/16.514/ 1.017 ms   89 pps  20.59
[  3] 1250.0000-1260.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.145 ms    0/  891 (0%)  6.391/ 4.877/19.181/ 1.028 ms   89 pps  20.49
[  3] 1260.0000-1270.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.227 ms    0/  892 (0%)  6.535/ 4.887/16.154/ 1.100 ms   89 pps  20.07
