------------------------------------------------------------
Server listening on UDP port 5001 with pid 166834
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5001 connected with 192.168.241.15 port 44095
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1350.0000-1360.0000 sec  94.7 KBytes  77.6 Kbits/sec  98.702 ms  828/  894 (93%) -/-/-/- ms    7 pps
[  3] 1360.0000-1370.0000 sec   106 KBytes  87.0 Kbits/sec  105.505 ms  822/  896 (92%) -/-/-/- ms    7 pps
[  3] 1370.0000-1380.0000 sec   177 KBytes   145 Kbits/sec  108.824 ms  814/  937 (87%) -/-/-/- ms   12 pps
[  3] 1380.0000-1390.0000 sec   103 KBytes  84.7 Kbits/sec  125.549 ms  714/  786 (91%) -/-/-/- ms    7 pps
[  3] 1390.0000-1400.0000 sec   131 KBytes   107 Kbits/sec  61.544 ms  780/  871 (90%) -/-/-/- ms    9 pps
[  3] 1400.0000-1410.0000 sec   135 KBytes   111 Kbits/sec  78.074 ms  778/  872 (89%) -/-/-/- ms    9 pps
[  3] 1410.0000-1420.0000 sec   149 KBytes   122 Kbits/sec  71.781 ms  746/  850 (88%) -/-/-/- ms   10 pps
[  3] 1420.0000-1430.0000 sec   132 KBytes   108 Kbits/sec  62.609 ms  791/  883 (90%) -/-/-/- ms    9 pps
[  3] 1430.0000-1440.0000 sec   158 KBytes   129 Kbits/sec  98.544 ms  793/  903 (88%) -/-/-/- ms   11 pps
[  3] 1440.0000-1450.0000 sec   141 KBytes   115 Kbits/sec  108.212 ms  841/  939 (90%) -/-/-/- ms   10 pps
[  3] 1450.0000-1460.0000 sec   141 KBytes   115 Kbits/sec  90.787 ms  795/  893 (89%) -/-/-/- ms   10 pps
[  3] 1460.0000-1470.0000 sec   115 KBytes  94.1 Kbits/sec  105.601 ms  865/  945 (92%) -/-/-/- ms    8 pps
[  3] 1470.0000-1480.0000 sec   106 KBytes  87.0 Kbits/sec  148.478 ms  939/ 1013 (93%) -/-/-/- ms    7 pps
[  3] 1480.0000-1490.0000 sec   108 KBytes  88.2 Kbits/sec  79.722 ms  807/  882 (91%) -/-/-/- ms    7 pps
[  3] 1490.0000-1500.0000 sec   177 KBytes   145 Kbits/sec  101.599 ms  804/  927 (87%) -/-/-/- ms   12 pps
[  3] 1500.0000-1510.0000 sec   174 KBytes   142 Kbits/sec  106.742 ms  731/  852 (86%) -/-/-/- ms   12 pps
[  3] 1510.0000-1520.0000 sec   108 KBytes  88.2 Kbits/sec  69.303 ms  786/  861 (91%) -/-/-/- ms    7 pps
[  3] 1520.0000-1530.0000 sec   134 KBytes   109 Kbits/sec  60.528 ms  803/  896 (90%) -/-/-/- ms    9 pps
[  3] 1530.0000-1540.0000 sec   142 KBytes   116 Kbits/sec  86.178 ms  810/  909 (89%) -/-/-/- ms   10 pps
[  3] 1540.0000-1550.0000 sec   179 KBytes   147 Kbits/sec  85.144 ms  801/  926 (87%) -/-/-/- ms   13 pps
[  3] 1550.0000-1560.0000 sec   181 KBytes   148 Kbits/sec  79.676 ms  803/  929 (86%) -/-/-/- ms   13 pps
[  3] 1560.0000-1570.0000 sec   125 KBytes   102 Kbits/sec  108.897 ms  798/  885 (90%) -/-/-/- ms    9 pps
[  3] 1570.0000-1580.0000 sec   121 KBytes  98.8 Kbits/sec  93.923 ms  767/  851 (90%) -/-/-/- ms    8 pps
[  3] 1580.0000-1590.0000 sec   119 KBytes  97.6 Kbits/sec  96.325 ms  815/  898 (91%) -/-/-/- ms    8 pps
[  3] 1590.0000-1600.0000 sec   138 KBytes   113 Kbits/sec  110.332 ms  753/  849 (89%) -/-/-/- ms   10 pps
[  3] 1600.0000-1610.0000 sec   149 KBytes   122 Kbits/sec  87.411 ms  731/  835 (88%) -/-/-/- ms   10 pps
[  3] 1610.0000-1620.0000 sec   174 KBytes   142 Kbits/sec  61.124 ms  711/  832 (85%) -/-/-/- ms   12 pps
[  3] 1620.0000-1630.0000 sec   156 KBytes   128 Kbits/sec  62.601 ms  778/  887 (88%) -/-/-/- ms   11 pps
[  3] 1630.0000-1640.0000 sec   129 KBytes   106 Kbits/sec  116.170 ms  825/  915 (90%) -/-/-/- ms    9 pps
[  3] 1640.0000-1650.0000 sec   144 KBytes   118 Kbits/sec  115.692 ms  805/  905 (89%) -/-/-/- ms   10 pps
[  3] 1650.0000-1660.0000 sec   185 KBytes   152 Kbits/sec  72.056 ms  850/  979 (87%) -/-/-/- ms   13 pps
[  3] 1660.0000-1670.0000 sec   159 KBytes   131 Kbits/sec  164.806 ms  819/  930 (88%) -/-/-/- ms   11 pps
[  3] 1670.0000-1680.0000 sec   129 KBytes   106 Kbits/sec  103.526 ms  777/  867 (90%) -/-/-/- ms    9 pps
[  3] 1680.0000-1690.0000 sec   158 KBytes   129 Kbits/sec  87.846 ms  778/  888 (88%) -/-/-/- ms   11 pps
[  3] 1690.0000-1700.0000 sec   149 KBytes   122 Kbits/sec  110.269 ms  758/  862 (88%) -/-/-/- ms   10 pps
[  3] 1700.0000-1710.0000 sec   105 KBytes  85.8 Kbits/sec  118.943 ms  822/  895 (92%) -/-/-/- ms    7 pps
[  3] 1710.0000-1720.0000 sec   131 KBytes   107 Kbits/sec  81.798 ms  783/  874 (90%) -/-/-/- ms    9 pps
[  3] 1720.0000-1730.0000 sec   158 KBytes   129 Kbits/sec  65.417 ms  791/  901 (88%) -/-/-/- ms   11 pps
[  3] 1730.0000-1740.0000 sec   168 KBytes   138 Kbits/sec  63.796 ms  814/  931 (87%) -/-/-/- ms   12 pps
[  3] 1740.0000-1750.0000 sec   167 KBytes   136 Kbits/sec  100.007 ms  857/  973 (88%) -/-/-/- ms   12 pps
[  3] 1750.0000-1760.0000 sec   164 KBytes   134 Kbits/sec  89.612 ms  774/  888 (87%) -/-/-/- ms   11 pps
[  3] 1760.0000-1770.0000 sec   154 KBytes   126 Kbits/sec  121.351 ms  856/  963 (89%) -/-/-/- ms   11 pps
[  3] 1770.0000-1780.0000 sec   155 KBytes   127 Kbits/sec  78.599 ms  743/  851 (87%) -/-/-/- ms   11 pps
[  3] 1780.0000-1790.0000 sec   149 KBytes   122 Kbits/sec  99.133 ms  727/  831 (87%) -/-/-/- ms   10 pps
[  3] 1790.0000-1800.0000 sec   162 KBytes   133 Kbits/sec  85.983 ms  791/  904 (88%) -/-/-/- ms   11 pps
[  3] 1800.0000-1810.0000 sec   148 KBytes   121 Kbits/sec  59.722 ms  744/  847 (88%) -/-/-/- ms   10 pps
[  3] 1810.0000-1820.0000 sec   184 KBytes   151 Kbits/sec  65.708 ms  750/  878 (85%) -/-/-/- ms   13 pps
[  3] 1820.0000-1830.0000 sec   162 KBytes   133 Kbits/sec  68.129 ms  776/  889 (87%) -/-/-/- ms   11 pps
[  3] 1830.0000-1840.0000 sec   187 KBytes   153 Kbits/sec  58.583 ms  780/  910 (86%) -/-/-/- ms   13 pps
[  3] 1840.0000-1850.0000 sec   165 KBytes   135 Kbits/sec  86.862 ms  821/  936 (88%) -/-/-/- ms   11 pps
[  3] 1850.0000-1860.0000 sec   179 KBytes   147 Kbits/sec  73.346 ms  742/  867 (86%) -/-/-/- ms   13 pps
[  3] 1860.0000-1870.0000 sec   134 KBytes   109 Kbits/sec  109.848 ms  805/  898 (90%) -/-/-/- ms    9 pps
[  3] 1870.0000-1880.0000 sec   128 KBytes   105 Kbits/sec  111.529 ms  748/  837 (89%) -/-/-/- ms    9 pps
[  3] 1880.0000-1890.0000 sec   103 KBytes  84.7 Kbits/sec  110.763 ms  765/  837 (91%) -/-/-/- ms    7 pps
[  3] 1890.0000-1900.0000 sec   118 KBytes  96.4 Kbits/sec  106.635 ms  768/  850 (90%) -/-/-/- ms    8 pps
[  3] 1900.0000-1910.0000 sec   141 KBytes   115 Kbits/sec  80.374 ms  744/  842 (88%) -/-/-/- ms   10 pps
[  3] 1910.0000-1920.0000 sec   129 KBytes   106 Kbits/sec  81.433 ms  797/  887 (90%) -/-/-/- ms    9 pps
[  3] 1920.0000-1930.0000 sec   105 KBytes  85.8 Kbits/sec  178.865 ms  896/  969 (92%) -/-/-/- ms    7 pps
